企画ID,企画タイトル,配信開始日,配信終了日,有効開始日,有効終了日,配信対象者,付与対象者,配信媒体,個数/金額,ごと/以上,最低購入金額,回数制限,付与ポイント数,JANBOX条件,JANBOX,JAN,製品名,みなし個数,配信ステータス
4736,＼期間中1回限り／1000円以上ご購入で10ポイント！,"2022am0208008.2022-08-02T00:00:00+00:002022080820228.22UTCamTue, 02 Aug 2022 00:00:00 +00008am0208008.2022-08-02T00:00:00+00:002022080820228.082022831122am0208008.2022-08-02T00:00:00+00:002022080820228.02am22","2022pm0408598.2022-08-04T23:59:59+00:002022080820228.22UTCpmThu, 04 Aug 2022 23:59:59 +00008pm0408598.2022-08-04T23:59:59+00:002022080820228.082022831114pm0408598.2022-08-04T23:59:59+00:002022080820228.04pm22","2022am0208008.2022-08-02T00:00:00+00:002022080820228.22UTCamTue, 02 Aug 2022 00:00:00 +00008am0208008.2022-08-02T00:00:00+00:002022080820228.082022831122am0208008.2022-08-02T00:00:00+00:002022080820228.02am22","2022pm0408598.2022-08-04T23:59:59+00:002022080820228.22UTCpmThu, 04 Aug 2022 23:59:59 +00008pm0408598.2022-08-04T23:59:59+00:002022080820228.082022831114pm0408598.2022-08-04T23:59:59+00:002022080820228.04pm22",,,"rabi media",,,1000,,10,,0,,,,admin.common.normal
4737,＼期間中1回限り／1000円以上ご購入で10ポイント！,"2022am0908008.2022-08-09T00:00:00+00:002022080820228.22UTCamTue, 09 Aug 2022 00:00:00 +00008am0908008.2022-08-09T00:00:00+00:002022080820228.082022831129am0908008.2022-08-09T00:00:00+00:002022080820228.09am22","2022pm1108598.2022-08-11T23:59:59+00:002022080820228.22UTCpmThu, 11 Aug 2022 23:59:59 +00008pm1108598.2022-08-11T23:59:59+00:002022080820228.0820228311111pm1108598.2022-08-11T23:59:59+00:002022080820228.11pm22","2022am0908008.2022-08-09T00:00:00+00:002022080820228.22UTCamTue, 09 Aug 2022 00:00:00 +00008am0908008.2022-08-09T00:00:00+00:002022080820228.082022831129am0908008.2022-08-09T00:00:00+00:002022080820228.09am22","2022pm1108598.2022-08-11T23:59:59+00:002022080820228.22UTCpmThu, 11 Aug 2022 23:59:59 +00008pm1108598.2022-08-11T23:59:59+00:002022080820228.0820228311111pm1108598.2022-08-11T23:59:59+00:002022080820228.11pm22",,,"rabi media",,,1000,,10,,0,,,,admin.common.normal
4738,＼期間中1回限り／1000円以上ご購入で10ポイント！,"2022am1608008.2022-08-16T00:00:00+00:002022080820228.22UTCamTue, 16 Aug 2022 00:00:00 +00008am1608008.2022-08-16T00:00:00+00:002022080820228.0820228311216am1608008.2022-08-16T00:00:00+00:002022080820228.16am22","2022pm1808598.2022-08-18T23:59:59+00:002022080820228.22UTCpmThu, 18 Aug 2022 23:59:59 +00008pm1808598.2022-08-18T23:59:59+00:002022080820228.0820228311118pm1808598.2022-08-18T23:59:59+00:002022080820228.18pm22","2022am1608008.2022-08-16T00:00:00+00:002022080820228.22UTCamTue, 16 Aug 2022 00:00:00 +00008am1608008.2022-08-16T00:00:00+00:002022080820228.0820228311216am1608008.2022-08-16T00:00:00+00:002022080820228.16am22","2022pm1808598.2022-08-18T23:59:59+00:002022080820228.22UTCpmThu, 18 Aug 2022 23:59:59 +00008pm1808598.2022-08-18T23:59:59+00:002022080820228.0820228311118pm1808598.2022-08-18T23:59:59+00:002022080820228.18pm22",,,"rabi media",,,1000,,10,,0,,,,admin.common.normal
4739,＼期間中1回限り／1000円以上ご購入で10ポイント！,"2022am2308008.2022-08-23T00:00:00+00:002022080820228.22UTCamTue, 23 Aug 2022 00:00:00 +00008am2308008.2022-08-23T00:00:00+00:002022080820228.0820228311223am2308008.2022-08-23T00:00:00+00:002022080820228.23am22","2022pm2508598.2022-08-25T23:59:59+00:002022080820228.22UTCpmThu, 25 Aug 2022 23:59:59 +00008pm2508598.2022-08-25T23:59:59+00:002022080820228.0820228311125pm2508598.2022-08-25T23:59:59+00:002022080820228.25pm22","2022am2308008.2022-08-23T00:00:00+00:002022080820228.22UTCamTue, 23 Aug 2022 00:00:00 +00008am2308008.2022-08-23T00:00:00+00:002022080820228.0820228311223am2308008.2022-08-23T00:00:00+00:002022080820228.23am22","2022pm2508598.2022-08-25T23:59:59+00:002022080820228.22UTCpmThu, 25 Aug 2022 23:59:59 +00008pm2508598.2022-08-25T23:59:59+00:002022080820228.0820228311125pm2508598.2022-08-25T23:59:59+00:002022080820228.25pm22",,,"rabi media",,,1000,,10,,0,,,,admin.common.normal
4759,"【1回限り】ねぎたっぷりアンガスビーフのプルコギ  各種","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,20,,1,2647368000000,"uff2eu30a2u30f3u30acu30b9u725bu30d7u30ebu30b3u30aeuff2d/Pu3000  300uff47",1,admin.common.normal
4759,"【1回限り】ねぎたっぷりアンガスビーフのプルコギ  各種","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,20,,1,2697223000000,u306du304eu305fu3063u3077u308au30d7u30ebu30b3u30aeuff2c/Pu3000500uff47,1,admin.common.normal
4760,【1回限り】茄子の揚げ浸し（国産長芋入り）各種,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22",,,"rabi media",1,,,,10,,1,2600160000000,"u8304u5b50u306eu63dau3052u6d78u3057uff08u56fdu7523u9577u828bu5165u308auff09   1u30d1u30c3u30af",1,admin.common.normal
4760,【1回限り】茄子の揚げ浸し（国産長芋入り）各種,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22",,,"rabi media",1,,,,10,,1,2600161000000,u8304u5b50u306eu63dau3052u6d78u3057uff08u56fdu7523u9577u828bu5165u308auff09u3000u5927u30001u30d1u30c3u30af,2,admin.common.normal
4760,【1回限り】茄子の揚げ浸し（国産長芋入り）各種,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22",,,"rabi media",1,,,,10,,1,2656813000000,u8304u5b50u306eu63dau3052u6d78u3057uff08u53d6u5206u3051u30b5u30a4u30bauff09u30001u30d1u30c3u30af,2,admin.common.normal
4761,"デルソーレ	ピッツァ各種","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,10,,1,4906690706849,u30dfu30c3u30afu30b9u30d4u30c3u30c4u30a1u3000uff11u679a,1,admin.common.normal
